"severity","condition","published","Architecture","Title","Version","updated","Name","cve","detection_time","cvss2_score","cvss3_score","external_references"
"High","Version match","2021-11-17","x86","CVE-2021-41277 affects Metabase version 1.40.4","1.40.4","2023-07-17","Metabase version 1.40.4","CVE-2021-41277","2023-09-10T01:30:04+00:00",5,7.5,"[""https://github.com/metabase/metabase/commit/042a36e49574c749f944e19cf80360fd3dc322f0"",""https://github.com/metabase/metabase/security/advisories/GHSA-w73v-6p7p-fpfr"",""https://nvd.nist.gov/vuln/detail/CVE-2021-41277""]"
"Critical","greater than or equal 1.0.0 and less than 1.44.7","2023-05-18","x86","CVE-2023-32680 affects Metabase version 1.40.4","1.40.4","2023-05-26","Metabase version 1.40.4","CVE-2023-32680","2023-09-10T01:30:04+00:00",0,9.6,"[""https://github.com/metabase/metabase/pull/30852"",""https://github.com/metabase/metabase/security/advisories/GHSA-mw6j-f894-4qxv"",""https://github.com/metabase/metabase/pull/30853"",""https://github.com/metabase/metabase/pull/30854"",""https://nvd.nist.gov/vuln/detail/CVE-2023-32680""]"
"Medium","greater than or equal 1.0.0 and less than 1.43.7.1","2023-01-28","x86","CVE-2023-23629 affects Metabase version 1.40.4","1.40.4","2023-02-07","Metabase version 1.40.4","CVE-2023-23629","2023-09-10T01:30:04+00:00",0,6.3,"[""https://github.com/metabase/metabase/security/advisories/GHSA-ch8f-hhq9-7gv5"",""https://nvd.nist.gov/vuln/detail/CVE-2023-23629""]"
"Medium","greater than or equal 1.0.0 and less than 1.43.7.1","2023-01-28","x86","CVE-2023-23628 affects Metabase version 1.40.4","1.40.4","2023-02-06","Metabase version 1.40.4","CVE-2023-23628","2023-09-10T01:30:04+00:00",0,4.1,"[""https://github.com/metabase/metabase/security/advisories/GHSA-492f-qxr3-9rrv"",""https://nvd.nist.gov/vuln/detail/CVE-2023-23628""]"
"Medium","greater than or equal 1.40.0 and less than 1.40.8","2022-04-14","x86","CVE-2022-24855 affects Metabase version 1.40.4","1.40.4","2022-04-22","Metabase version 1.40.4","CVE-2022-24855","2023-09-10T01:30:05+00:00",3.5,5.4,"[""https://github.com/metabase/metabase/security/advisories/GHSA-wjw6-wm9w-7ggr"",""https://github.com/metabase/metabase/releases/tag/v0.42.4"",""https://nvd.nist.gov/vuln/detail/CVE-2022-24855""]"
"Medium","greater than or equal 1.40.0 and less than 1.40.8","2022-04-14","x86","CVE-2022-24853 affects Metabase version 1.40.4","1.40.4","2022-04-22","Metabase version 1.40.4","CVE-2022-24853","2023-09-10T01:30:05+00:00",2.6,5.3,"[""https://www.qomplx.com/qomplx-knowledge-ntlm-relay-attacks-explained/"",""https://github.com/metabase/metabase/security/advisories/GHSA-5cfq-582c-c38m"",""https://secure77.de/metabase-ntlm-relay-attack/"",""https://nvd.nist.gov/vuln/detail/CVE-2022-24853""]"
"Medium","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-38254 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-38254","2023-09-10T01:29:45+00:00",0,6.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-38254"",""https://nvd.nist.gov/vuln/detail/CVE-2023-38254""]"
"Critical","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-38186 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-38186","2023-09-10T01:29:45+00:00",0,9.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-38186"",""https://nvd.nist.gov/vuln/detail/CVE-2023-38186""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-38184 affects Windows Server 2022","10.0.20348","2023-08-11","Windows Server 2022","CVE-2023-38184","2023-09-10T01:29:45+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-38184"",""https://nvd.nist.gov/vuln/detail/CVE-2023-38184""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-38172 affects Windows Server 2022","10.0.20348","2023-08-11","Windows Server 2022","CVE-2023-38172","2023-09-10T01:29:45+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-38172"",""https://nvd.nist.gov/vuln/detail/CVE-2023-38172""]"
"Medium","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36914 affects Windows Server 2022","10.0.20348","2023-08-11","Windows Server 2022","CVE-2023-36914","2023-09-10T01:29:45+00:00",0,5.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36914"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36914""]"
